time,Hour (PST),Jul,ETo (mm),Rain,Sol Rad (W/sq.m),Vap Pres (kPa),AirTemp,RelHum,Dew Point (C),WindSpeed,Wind Dir (0-360),LongWave,ShortWave,Soil Temp (C)
2024-03-01,100,61,0.01,0.0,0.0,1.1,13.4,71.0,8.1,1.9,295.0,-84.47705,9.999997E-16,16.5
2024-03-01,200,61,0.0,0.0,0.0,1.1,12.0,75.0,7.8,1.7,276.0,-85.23291,9.999997E-16,16.3
2024-03-01,300,61,0.0,0.0,0.0,1.0,11.5,75.0,7.3,1.8,288.0,-85.551025,9.999997E-16,16.2
2024-03-01,400,61,0.0,0.0,0.0,1.0,11.0,77.0,7.1,1.7,275.0,-85.66748,9.999997E-16,16.0
2024-03-01,500,61,0.01,0.0,0.0,1.0,12.1,71.0,6.9,2.0,293.0,-86.71362,9.999997E-16,15.8
2024-03-01,600,61,0.01,0.0,0.0,1.0,11.2,74.0,6.7,2.0,286.0,-85.63745,9.999997E-16,15.7
2024-03-01,700,61,0.03,0.0,33.0,1.0,11.7,71.0,6.6,1.8,284.0,-88.91431,9.999997E-16,15.5
2024-03-01,800,61,0.09,0.0,170.0,1.0,15.0,59.0,7.1,1.6,320.0,-86.89307,9.999997E-16,15.3
2024-03-01,900,61,0.24,0.0,402.0,1.0,17.2,51.0,7.1,1.6,23.0,-85.69873,35.515625,15.2
2024-03-01,1000,61,0.36,0.0,591.0,1.0,18.8,47.0,7.3,1.3,89.0,-107.19238,191.78125,15.1
2024-03-01,1100,61,0.48,0.0,738.0,1.0,20.3,41.0,6.8,2.4,133.0,-127.43408,366.10938,15.1
2024-03-01,1200,61,0.54,0.0,820.0,0.9,21.5,36.0,5.6,1.8,105.0,-144.85132,513.9375,15.1
2024-03-01,1300,61,0.56,0.0,828.0,1.0,22.6,35.0,6.4,1.7,132.0,-161.82349,611.6875,15.2
2024-03-01,1400,61,0.52,0.0,773.0,0.9,23.6,32.0,5.8,1.7,56.0,-173.625,663.21875,15.4
2024-03-01,1500,61,0.45,0.0,653.0,1.0,23.6,34.0,6.9,2.4,120.0,-179.18164,659.65625,15.5
2024-03-01,1600,61,0.31,0.0,482.0,1.0,23.0,37.0,7.5,2.4,113.0,-180.66699,599.71875,15.7
2024-03-01,1700,61,0.15,0.0,263.0,1.0,22.5,37.0,7.1,2.3,121.0,-175.98102,485.1875,16.0
2024-03-01,1800,61,0.02,0.0,38.0,1.1,20.4,45.0,8.0,1.2,138.0,-162.50246,332.90625,16.2
2024-03-01,1900,61,0.0,0.0,0.0,1.1,18.1,51.0,7.7,1.8,313.0,-143.42793,158.3125,16.4
2024-03-01,2000,61,0.0,0.0,0.0,1.0,17.4,51.0,7.1,1.3,15.0,-118.47818,19.140625,16.5
2024-03-01,2100,61,0.0,0.0,0.0,1.0,15.7,58.0,7.4,1.6,192.0,-108.31058,9.999997E-16,16.6
2024-03-01,2200,61,0.03,0.0,0.0,1.0,17.2,50.0,6.6,3.6,342.0,-106.846924,9.999997E-16,16.6
2024-03-01,2300,61,0.0,0.0,0.0,1.0,16.6,51.0,6.5,2.1,56.0,-101.34204,9.999997E-16,16.5
2024-03-01,2400,61,0.0,0.0,0.0,1.0,15.0,58.0,6.8,1.6,167.0,-101.46997,9.999997E-16,16.4
2024-03-02,100,62,0.03,0.0,0.0,1.0,14.3,60.0,6.7,1.5,170.0,-98.260025,9.999997E-16,16.3
2024-03-02,200,62,0.03,0.0,0.0,1.0,14.9,58.0,6.8,1.5,150.0,-98.088135,9.999997E-16,16.2
2024-03-02,300,62,0.03,0.0,0.0,1.0,13.9,62.0,6.8,2.1,138.0,-98.84302,9.999997E-16,16.0
2024-03-02,400,62,0.03,0.0,0.0,1.0,13.9,66.0,7.6,1.9,137.0,-99.768555,9.999997E-16,15.9
