time,Hour (UST),ETo (mm),Rain,Sol Rad (W/sq.m),Vap Pres (kPa),AirTemp,RelHum,Dew Point (C),WindSpeed,Wind Dir (0-360),ShortWave,LongWave
2024-03-01,800,0.01,0.0,0.0,1.1,13.4,71.0,8.1,1.9,295.0,9.999997E-16,85.23291
2024-03-01,900,0.0,0.0,0.0,1.1,12.0,75.0,7.8,1.7,276.0,9.999997E-16,85.551025
2024-03-01,1000,0.0,0.0,0.0,1.0,11.5,75.0,7.3,1.8,288.0,9.999997E-16,85.66748
2024-03-01,1100,0.0,0.0,0.0,1.0,11.0,77.0,7.1,1.7,275.0,9.999997E-16,86.71362
2024-03-01,1200,0.01,0.0,0.0,1.0,12.1,71.0,6.9,2.0,293.0,9.999997E-16,85.63745
2024-03-01,1300,0.01,0.0,0.0,1.0,11.2,74.0,6.7,2.0,286.0,9.999997E-16,88.91431
2024-03-01,1400,0.03,0.0,33.0,1.0,11.7,71.0,6.6,1.8,284.0,9.999997E-16,86.89307
2024-03-01,1500,0.09,0.0,170.0,1.0,15.0,59.0,7.1,1.6,320.0,35.515625,85.69873
2024-03-01,1600,0.24,0.0,402.0,1.0,17.2,51.0,7.1,1.6,23.0,191.78125,107.19238
2024-03-01,1700,0.36,0.0,591.0,1.0,18.8,47.0,7.3,1.3,89.0,366.10938,127.43408
2024-03-01,1800,0.48,0.0,738.0,1.0,20.3,41.0,6.8,2.4,133.0,513.9375,144.85132
2024-03-01,1900,0.54,0.0,820.0,0.9,21.5,36.0,5.6,1.8,105.0,611.6875,161.82349
2024-03-01,2000,0.56,0.0,828.0,1.0,22.6,35.0,6.4,1.7,132.0,663.21875,173.625
2024-03-01,2100,0.52,0.0,773.0,0.9,23.6,32.0,5.8,1.7,56.0,659.65625,179.18164
2024-03-01,2200,0.45,0.0,653.0,1.0,23.6,34.0,6.9,2.4,120.0,599.71875,180.66699
2024-03-01,2300,0.31,0.0,482.0,1.0,23.0,37.0,7.5,2.4,113.0,485.1875,175.98102
2024-03-02,0,0.15,0.0,263.0,1.0,22.5,37.0,7.1,2.3,121.0,332.90625,162.50246
2024-03-02,100,0.02,0.0,38.0,1.1,20.4,45.0,8.0,1.2,138.0,158.3125,143.42793
2024-03-02,200,0.0,0.0,0.0,1.1,18.1,51.0,7.7,1.8,313.0,19.140625,118.47818
2024-03-02,300,0.0,0.0,0.0,1.0,17.4,51.0,7.1,1.3,15.0,9.999997E-16,108.31058
2024-03-02,400,0.0,0.0,0.0,1.0,15.7,58.0,7.4,1.6,192.0,9.999997E-16,106.846924
2024-03-02,500,0.03,0.0,0.0,1.0,17.2,50.0,6.6,3.6,342.0,9.999997E-16,101.34204
2024-03-02,600,0.0,0.0,0.0,1.0,16.6,51.0,6.5,2.1,56.0,9.999997E-16,101.46997
2024-03-02,700,0.0,0.0,0.0,1.0,15.0,58.0,6.8,1.6,167.0,9.999997E-16,98.260025
2024-03-02,800,0.03,0.0,0.0,1.0,14.3,60.0,6.7,1.5,170.0,9.999997E-16,98.088135
2024-03-02,900,0.03,0.0,0.0,1.0,14.9,58.0,6.8,1.5,150.0,9.999997E-16,98.84302
2024-03-02,1000,0.03,0.0,0.0,1.0,13.9,62.0,6.8,2.1,138.0,9.999997E-16,99.768555
2024-03-02,1100,0.03,0.0,0.0,1.0,13.9,66.0,7.6,1.9,137.0,9.999997E-16,91.118164
2024-03-02,1200,0.03,0.0,0.0,1.1,14.2,66.0,8.1,2.3,136.0,9.999997E-16,88.697266
2024-03-02,1300,0.02,0.0,0.0,1.1,13.9,68.0,8.1,1.9,88.0,9.999997E-16,86.170654
2024-03-02,1400,0.03,0.0,27.0,1.1,13.8,69.0,8.3,1.6,306.0,9.999997E-16,74.66748
2024-03-02,1500,0.07,0.0,104.0,1.2,15.1,68.0,9.3,2.2,308.0,32.21875,74.16699
2024-03-02,1600,0.26,0.0,459.0,1.2,18.5,58.0,10.1,2.1,25.0,160.21875,83.99878
2024-03-02,1700,0.39,0.0,581.0,1.2,20.9,50.0,10.2,2.2,94.0,284.89062,91.107666
2024-03-02,1800,0.53,0.0,731.0,1.2,22.0,45.0,9.7,3.9,60.0,378.875,103.48877
2024-03-02,1900,0.5,0.0,525.0,1.1,21.8,42.0,8.5,7.0,208.0,516.59375,116.22803
2024-03-02,2000,0.81,0.0,887.0,1.0,22.7,37.0,7.2,8.8,221.0,608.125,129.13403
2024-03-02,2100,0.71,0.0,880.0,1.0,23.8,35.0,7.4,5.1,263.0,561.6875,127.46875
2024-03-02,2200,0.61,0.0,785.0,1.1,23.7,36.0,7.7,4.4,295.0,441.6875,102.416016
2024-03-02,2300,0.35,0.0,494.0,1.0,23.1,36.0,7.4,3.4,37.0,446.3125,116.898865
2024-03-03,0,0.14,0.0,117.0,1.0,21.8,38.0,6.8,2.6,40.0,278.85938,106.3638
