time,Hour (PST),Rain,AirTemp,RelHum,WindSpeed,LongWave,ShortWave
2024-03-01,100,0.0,13.4,71.0,1.9,84.47705,9.999997e-16
2024-03-01,200,0.0,12.0,75.0,1.7,85.23291,9.999997e-16
2024-03-01,300,0.0,11.5,75.0,1.8,85.551025,9.999997e-16
2024-03-01,400,0.0,11.0,77.0,1.7,85.66748,9.999997e-16
2024-03-01,500,0.0,12.1,71.0,2.0,86.71362,9.999997e-16
2024-03-01,600,0.0,11.2,74.0,2.0,85.63745,9.999997e-16
2024-03-01,700,0.0,11.7,71.0,1.8,88.91431,9.999997e-16
2024-03-01,800,0.0,15.0,59.0,1.6,86.89307,9.999997e-16
2024-03-01,900,0.0,17.2,51.0,1.6,85.69873,35.515625
2024-03-01,1000,0.0,18.8,47.0,1.3,107.19238,191.78125
2024-03-01,1100,0.0,20.3,41.0,2.4,127.43408,366.10938
2024-03-01,1200,0.0,21.5,36.0,1.8,144.85132,513.9375
2024-03-01,1300,0.0,22.6,35.0,1.7,161.82349,611.6875
2024-03-01,1400,0.0,23.6,32.0,1.7,173.625,663.21875
2024-03-01,1500,0.0,23.6,34.0,2.4,179.18164,659.65625
2024-03-01,1600,0.0,23.0,37.0,2.4,180.66699,599.71875
2024-03-01,1700,0.0,22.5,37.0,2.3,175.98102,485.1875
2024-03-01,1800,0.0,20.4,45.0,1.2,162.50246,332.90625
2024-03-01,1900,0.0,18.1,51.0,1.8,143.42793,158.3125
2024-03-01,2000,0.0,17.4,51.0,1.3,118.47818,19.140625
2024-03-01,2100,0.0,15.7,58.0,1.6,108.31058,9.999997e-16
2024-03-01,2200,0.0,17.2,50.0,3.6,106.846924,9.999997e-16
2024-03-01,2300,0.0,16.6,51.0,2.1,101.34204,9.999997e-16
2024-03-01,2400,0.0,15.0,58.0,1.6,101.46997,9.999997e-16
2024-03-02,100,0.0,14.3,60.0,1.5,98.260025,9.999997e-16
2024-03-02,200,0.0,14.9,58.0,1.5,98.088135,9.999997e-16
2024-03-02,300,0.0,13.9,62.0,2.1,98.84302,9.999997e-16
2024-03-02,400,0.0,13.9,66.0,1.9,99.768555,9.999997e-16
2024-03-02,500,0.0,14.2,66.0,2.3,91.118164,9.999997e-16
2024-03-02,600,0.0,13.9,68.0,1.9,88.697266,9.999997e-16
2024-03-02,700,0.0,13.8,69.0,1.6,86.170654,9.999997e-16
2024-03-02,800,0.0,15.1,68.0,2.2,74.66748,9.999997e-16
2024-03-02,900,0.0,18.5,58.0,2.1,74.16699,32.21875
2024-03-02,1000,0.0,20.9,50.0,2.2,83.99878,160.21875
2024-03-02,1100,0.0,22.0,45.0,3.9,91.107666,284.89062
2024-03-02,1200,0.0,21.8,42.0,7.0,103.48877,378.875
2024-03-02,1300,0.0,22.7,37.0,8.8,116.22803,516.59375
2024-03-02,1400,0.0,23.8,35.0,5.1,129.13403,608.125
2024-03-02,1500,0.0,23.7,36.0,4.4,127.46875,561.6875
2024-03-02,1600,0.0,23.1,36.0,3.4,102.416016,441.6875
2024-03-02,1700,0.0,21.8,38.0,2.6,116.898865,446.3125
2024-03-02,1800,0.0,20.1,44.0,2.1,106.3638,278.85938
2024-03-02,1900,0.0,19.3,47.0,2.7,105.94862,147.64062
2024-03-02,2000,0.0,18.7,48.0,2.5,93.79663,18.28125
2024-03-02,2100,0.0,18.1,49.0,3.2,83.51915,9.999997e-16
2024-03-02,2200,0.0,17.1,52.0,2.1,87.30693,9.999997e-16
